,problem_id,prompts,GPT3.5_generated_code
0,1,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:


**PROBLEM STATEMENT:  
** You have been provided with a list called `list_of_animals`. Write a
program that prints out each of the items in this list (one item per line).



**EXAMPLE:  
** If, for example, the list contained the items: ""A"", ""B"", ""C""

Your program should print:

    
    
    A  
    B  
    C



**NOTE:**

  * You must use a loop to complete this task. 




The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","list_of_animals = [""A"", ""B"", ""C""]

for animal in list_of_animals:
    print(animal)"
1,833,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:


**PROBLEM STATEMENT:  
**

You have been provided with a list called `list_of_cargo_planes`. Write a
program that prints a single, specified plane from the list. Your program
shall take a number via user input used to identify which plane to print. For
example, if the user types a 3, you should print out the third item.



**NOTE:**

  * You may assume that the user will always enter a value that ""should"" exist within the list (e.g., the user will not enter 100 when the list only contains 5 elements)




The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
list_of_cargo_planes = ['Boeing 747', 'Airbus A380', 'C-130 Hercules', 'Antonov An-225', 'Lockheed C-5 Galaxy']
index = int(input(""Enter the number of the plane you want to print: ""))
print(list_of_cargo_planes[index-1])
"
2,2,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:


**PROBLEM STATEMENT:  
** You have been provided with a list called `list_of_games`. Write a program
that prints out each of the items in this list (one item per line).



**EXAMPLE:  
** If, for example, the list contained the items: ""A"", ""B"", ""C""

Your program should print:

    
    
    A  
    B  
    C



**NOTE:**

  * You must use a loop to complete this task. 




The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","list_of_games = [""A"", ""B"", ""C""]

for game in list_of_games:
    print(game)"
3,15933,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:


**PROBLEM STATEMENT:  
** You have been provided with a list called list_of_heights. Write a program
that prints out the range ( _i.e.,  _the difference between the max and min
height)



**EXAMPLE:  
** If, for example, the list contained the values: 53, 60, 65

Your program should print:

    
    
    12






The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","list_of_heights = [53, 60, 65]
print(max(list_of_heights) - min(list_of_heights))"
4,15947,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
## Comp Sci 110 Spring 2021 Programming Exercise (PEX 3)

Objective: Create a simple mars rover graphical simulation, complete with
basic AI algorithms.

Instructions: Read writeup (pex3-writeup.pdf) and use the template file to
begin work.

  


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
class Rover:
    def __init__(self, x, y):
        self.x = x
        self.y = y

    def move_up(self):
        self.y += 1

    def move_down(self):
        self.y -= 1

    def move_left(self):
        self.x -= 1

    def move_right(self):
        self.x += 1


rover = Rover(0, 0)
rover.move_up()
rover.move_right()
rover.move_down()
print(f""Rover position: ({rover.x}, {rover.y})"")
"
5,3,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
## Comp Sci 110 Spring 2021 Programming Exercise (PEX 1)

Objective: Create a retirement calculation tool to compare the difference
between the traditional and blended military retirement systems.

Instructions: Read writeup (pex1-writeup.pdf) and use the template file to
begin work.

  


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
def calculate_retirement(years_of_service, high_3, retirement_system):
    if retirement_system == ""traditional"":
        multiplier = 2.5
    elif retirement_system == ""blended"":
        multiplier = 2.0
    else:
        return ""Invalid retirement system""
    
    return years_of_service * high_3 * (multiplier / 100)
"
6,4,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** Write a program that asks the user for the area of three plots of land.

  * The first area will be provided to you in ACRES
  * The second area will be provided to you in SQUARE MILES (1 Acre = 0.0015625 Sq Miles)
  * The third area will be provided to you in SQUARE KILOMETERS

Your program will output ""Plot X is the biggest"", replacing X with either a 1,
2, or 3 depending on if the first, second, or third plot of land is the
biggest, respectively. For this problem, you may assume that the plots are all
different sizes (e.g., no two plots will be the same size)

**NOTES:**

  * **1 acre = 0.0015625 square miles**
  * **1 sq kilometer = 0.386102 square miles**

**EXAMPLES:**

**EXAMPLE 1** | **EXAMPLE 2**  
---|---  
**Inputs** |

35  
0.25  
1

|

150  
1  
2.2  
  
**Expected Output** | Plot 3 is the biggest | Plot 2 is the biggest


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ",
7,30287,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** Write a program that asks the user for the price of an item in US dollars /
cents. Then calculate and print out the equivalent price of the item in:

  *     * British Pounds (1.25 USD per Pound)
    * Korean Won (1 Won == 0.00083 USD)
    * Mexican Pesos (1 Peso == 53.81 Won)

Print each currency on a separate line.


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
usd = float(input(""Enter the price in US dollars: ""))

pounds = usd * 1.25
won = usd / 0.00083
pesos = won / 53.81

print(pounds)
print(won)
print(pesos)
"
8,40263,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a program that gets two (x, y) coordinates from
the user.  Write a program that calculates the distance between these two
points, and prints them out.

HINT:  You will have to use the math module.


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
import math

x1 = float(input(""Enter the x-coordinate of the first point: ""))
y1 = float(input(""Enter the y-coordinate of the first point: ""))

x2 = float(input(""Enter the x-coordinate of the second point: ""))
y2 = float(input(""Enter the y-coordinate of the second point: ""))

distance = math.sqrt((x2 - x1)**2 + (y2 - y1)**2)

print(""The distance between the two points is:"", distance)
"
9,80255,"You are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy programYou are a helpful Teaching Assistant in a CS1 programming course teaching the basics of python programming. Below is a problem description, as well as a student's attempt at that problem which is incorrect. Provide a solution to this incorrect program which is as close as possible to this buggy program 
Problem description:
**PROBLEM STATEMENT:  
** You have been provided with a program that prints out the class year.
Write the approrpriate input statement above this line to make this program
work.


The answer should be code only, please do not provide explanations. Please put the answer within the fenced code block. ","
# Solution
year = input(""Enter your class year: "")
print(""Class Year: "" + year)
"
